patient_id,hsa-mir-18a,hsa-mir-106b,hsa-mir-17,hsa-mir-505,hsa-mir-93,hsa-mir-942,hsa-mir-20a,hsa-mir-19a,hsa-mir-197,hsa-mir-92a-1,hsa-mir-590,hsa-let-7d,hsa-mir-92a-2,hsa-mir-19b-1,hsa-mir-502,hsa-mir-24-2,hsa-mir-24-1,hsa-mir-19b-2,hsa-mir-877,hsa-mir-378a,hsa-mir-501,hsa-mir-188,hsa-mir-532,hsa-mir-186,hsa-mir-1307,hsa-mir-500b,hsa-mir-455,hsa-mir-1301,hsa-let-7i,hsa-mir-452,hsa-mir-146b,hsa-mir-135b,hsa-mir-224,hsa-mir-934,hsa-mir-324,hsa-mir-1306,hsa-mir-548b,hsa-mir-98,hsa-mir-301b,hsa-mir-421,hsa-mir-146a,hsa-mir-548s,hsa-mir-25,hsa-mir-362,hsa-mir-30e,hsa-mir-130b,hsa-mir-190b,hsa-mir-23a,hsa-mir-27a,hsa-mir-3200,hsa-mir-378c,hsa-mir-130a,hsa-mir-766,hsa-mir-33a,hsa-mir-155,hsa-mir-548d-1,hsa-mir-185,hsa-mir-548ao,hsa-mir-769,hsa-mir-210,hsa-mir-454,hsa-mir-939,hsa-mir-1276,hsa-mir-2355,hsa-mir-7112,hsa-mir-28,hsa-mir-223,hsa-mir-548d-2,hsa-mir-2115,hsa-mir-138-2,hsa-mir-7706,hsa-mir-3677,hsa-mir-2277,hsa-mir-4999,hsa-mir-1277,hsa-mir-10b,hsa-mir-7158,hsa-mir-3691,hsa-mir-15b,hsa-mir-301a,hsa-mir-3613,hsa-mir-3136,hsa-mir-106a,hsa-mir-100,hsa-mir-151a,hsa-mir-195,hsa-mir-1226,hsa-mir-511,hsa-mir-1468,hsa-mir-142
TCGA-BH-A208,6.747417,503.069687,232.122194,27.874574,2183.618887,5.86251,88.435403,7.68763,576.904124,1982.081295,17.919369,485.150319,1861.512702,28.593561,7.577017,1104.861823,1088.878189,23.615958,1.880428,404.679079,27.92988,3.484322,502.074167,244.013133,773.408807,3.650242,170.068084,7.134564,591.394478,121.508806,210.552584,16.979155,70.847875,10.895419,39.488979,7.68763,0.33184,47.729677,1.714508,2.433495,23.118198,0.055307,4480.505884,5.420056,12027.436102,39.046526,5.917816,3973.841261,1750.678088,1.603894,7.68763,85.227615,8.627844,50.992772,175.65406,0.0,38.438152,0.0,20.24225,459.764546,4.701069,0.553067,0.055307,75.659557,0.33184,4585.422682,45.904556,0.0,0.442454,0.221227,0.884907,10.397658,2.267574,0.608374,2.488801,75191.773196,0.0,0.33184,83.679028,6.139043,14.158514,0.442454,4.148002,2246.668518,996.35009,32.409723,0.718987,2.101654,3.207788,1016.371113
TCGA-BH-A28Q,0.596029,374.455267,304.570858,14.602712,2927.09879,1.043051,104.75211,3.427167,87.616274,3908.758677,5.215254,277.898556,3518.50864,22.053076,2.533124,350.763111,370.43207,22.947119,0.298015,110.265379,18.923923,0.447022,236.921558,143.494,385.332797,1.788087,78.973853,5.662276,405.746793,6.854334,457.154301,3.725182,2.980145,0.149007,15.496756,2.980145,0.298015,47.682326,0.0,1.937094,38.592883,0.0,10905.842009,1.937094,10647.463405,8.046393,24.139178,1415.569054,622.999391,0.447022,1.937094,20.413996,2.682131,2.533124,145.729109,0.0,44.404166,0.149007,20.413996,23.99017,5.215254,0.447022,0.0,18.625909,0.0,3878.957223,33.973657,0.0,0.298015,0.0,2.682131,4.172204,0.745036,0.298015,0.149007,61971.080073,0.0,0.298015,96.55671,1.490073,2.384116,0.149007,18.774916,2129.164865,1996.250381,61.241988,0.149007,2.831138,2.384116,380.564565
TCGA-C8-A12P,5.165289,361.570248,188.164109,11.806375,4448.789847,6.641086,56.818182,8.116883,259.74026,1781.286895,22.874852,340.909091,1693.476978,28.77804,10.330579,551.948052,534.976387,18.447462,0.737898,733.471074,118.063754,0.0,702.479339,208.825266,1525.974026,3.689492,167.502952,19.923259,522.432113,45.749705,416.174734,0.0,40.584416,3.689492,29.515939,22.136954,0.0,24.350649,1.475797,2.213695,98.878394,2.951594,10375.590319,6.641086,9231.847698,26.564345,3.689492,3498.376623,965.171192,8.116883,7.378985,56.080283,18.447462,8.854782,323.937426,0.0,65.672963,0.0,10.330579,454.545455,8.116883,1.475797,0.0,87.809917,0.0,3411.304604,45.011806,0.0,0.737898,0.737898,0.737898,8.854782,0.737898,0.0,5.903188,48696.133412,0.737898,0.0,93.713105,22.136954,7.378985,0.0,22.136954,2220.336482,993.211334,17.709563,1.475797,0.737898,2.951594,3063.016529
TCGA-C8-A135,13.299274,734.119919,437.878593,92.097472,4961.294126,11.969347,133.990184,19.283947,393.658507,3324.818473,33.580667,832.534546,2985.354507,42.890158,6.317155,503.045035,488.415834,38.567894,0.664964,365.730032,49.207313,2.327373,507.699781,321.509946,1450.950782,0.997446,121.023392,16.956574,450.180421,119.028501,654.324276,3.6573,92.097472,6.649637,52.864614,17.289056,0.332482,82.455498,1.994891,5.31971,129.002957,0.332482,11844.665811,10.306937,13910.375528,28.925921,3.6573,2590.033591,780.999859,4.987228,7.979564,39.56534,12.966792,33.248185,423.581873,0.664964,57.186878,0.332482,32.250739,126.343102,15.959129,2.659855,0.0,195.831808,0.0,3461.800994,82.78798,0.0,9.309492,0.0,0.664964,30.58833,3.324818,0.997446,2.659855,81448.743102,0.997446,0.332482,117.698574,45.882495,9.309492,0.997446,27.263511,4339.553071,6431.196373,31.253294,1.329927,5.652191,3.324818,4570.295473
TCGA-C8-A1HJ,333.318139,2670.343612,7554.261534,403.59034,12692.678776,72.171449,1833.724579,411.187334,2771.003791,29411.764706,196.572236,1656.144829,27939.846997,1280.093595,21.84136,2404.4488,2343.672843,1165.189051,14.244365,715.067119,141.494025,16.143614,1024.644651,4081.485364,6312.152912,25.639857,923.034847,168.083506,904.991985,114.904544,1484.262826,1944.830625,212.71585,213.665474,199.421109,102.559427,5.697746,229.809088,39.884222,10.445868,280.139177,0.949624,23665.587893,18.042862,27024.409144,494.754275,0.0,5323.593986,2471.872127,56.97746,5.697746,282.98805,59.826333,149.09102,1049.334883,4.748122,106.357925,1.899249,114.904544,782.490447,90.214311,3.798497,0.949624,168.083506,1.899249,4112.822967,454.870053,3.798497,0.0,17.093238,8.546619,40.833846,6.64737,0.0,5.697746,32706.961126,0.0,1.899249,1769.150124,160.486512,51.279714,3.798497,169.03313,1385.501895,3216.377601,54.128587,12.345116,28.48873,9.496243,8058.512053
TCGA-C8-A278,13.937378,663.419173,671.274786,250.61939,4712.607473,13.177157,167.755345,24.833873,687.492825,3950.106215,42.06554,1085.341604,3643.990722,53.722255,7.348799,706.751747,665.446428,50.427966,3.294289,598.293609,85.904927,9.376054,708.018782,650.242016,3325.204886,5.321544,303.074611,78.302721,812.929224,58.030172,664.432801,4.05451,98.575271,1.013627,70.953922,16.471446,0.0,60.564241,3.040882,3.040882,184.226791,3.294289,11776.070435,18.245294,13172.849076,29.90201,7.855613,3504.110133,1207.230306,8.615833,7.095392,48.654118,50.427966,49.414339,1544.768251,0.253407,85.65152,0.0,47.893898,1559.465849,20.272549,3.040882,0.506814,122.90233,0.506814,4745.296959,68.926667,0.506814,6.588578,0.760221,1.267034,110.7388,7.348799,1.773848,2.534069,57372.834733,6.588578,0.0,261.262478,36.237182,10.643088,2.787476,48.147304,1323.544057,2577.401226,34.463334,1.773848,60.310834,8.362427,6451.231975
TCGA-C8-A27B,27.990819,1737.053435,1979.234869,192.284757,9479.151708,20.283202,528.174585,61.660935,985.357962,19499.45925,23.12285,2253.463762,16985.964835,155.774993,18.254882,1497.305985,1406.031575,137.520111,7.707617,673.402312,66.934567,12.169921,1345.993297,879.885311,2651.420189,11.358593,334.672836,64.094919,861.224765,727.761294,1287.983339,398.767755,516.815992,238.124794,78.29316,26.368163,1.216992,100.199019,1.216992,2.433984,1045.39624,2.433984,25225.81289,23.12285,26899.988398,32.858788,0.405664,11027.165698,2095.254785,5.679297,9.735937,51.519334,11.358593,153.341008,1679.043477,1.216992,67.745895,1.622656,32.453123,1614.542894,16.226562,6.490625,0.0,72.2082,0.811328,9038.194892,291.266783,0.811328,0.0,0.0,4.05664,12.169921,0.811328,0.0,10.141601,28464.634614,0.0,0.405664,765.48805,17.849218,21.09453,0.811328,71.396872,1108.679831,7583.889296,25.151171,2.02832,3.245312,6.084961,7683.682651
TCGA-D8-A1JG,7.342025,3030.420948,378.114304,156.75224,18741.988015,11.380139,92.509519,19.823468,434.280797,2649.736935,52.495481,774.58367,2282.268568,102.421253,19.089266,733.83543,714.379063,103.522557,2.93681,1667.006847,45.520557,6.974924,947.855468,903.803316,1842.481252,7.709127,233.476405,30.836506,1056.517442,187.588747,587.362025,7.709127,503.662936,0.0,113.801392,43.685051,2.202608,79.660975,0.734203,7.709127,362.69605,1.468405,49764.614668,13.215646,14587.135891,32.672013,18.722165,3933.490061,1405.997847,1.835506,17.620861,46.621861,51.027076,22.026076,1080.379025,0.0,58.002,0.0,15.418253,2087.337796,21.291873,1.468405,0.0,51.761278,0.367101,3019.040808,125.548633,0.0,33.406215,1.468405,1.101304,37.077228,0.0,1.835506,2.202608,30094.227553,0.367101,0.0,597.64086,12.481443,11.013038,2.202608,67.546633,1330.374987,3120.727859,22.393177,0.0,37.444329,1.101304,6838.362376
TCGA-D8-A1XF,22.992787,866.36822,2046.817913,32.189902,10613.010699,7.817548,687.02448,58.861535,434.563677,16864.289672,25.751922,922.010765,14828.968153,133.818021,3.21899,490.666078,474.111271,111.744946,2.759134,121.861772,22.073076,1.839423,457.556465,207.854796,1542.816019,2.299279,85.993024,18.854085,467.213435,12.416105,372.483152,17.014663,7.357692,0.0,34.029325,17.014663,0.0,51.043988,1.839423,1.839423,39.547594,1.379567,13001.041573,7.817548,10248.80495,47.824997,36.788459,4111.110345,698.520874,2.759134,3.678846,91.971149,2.299279,68.518506,220.730757,0.0,68.978361,0.0,47.365142,2236.278479,26.211777,2.299279,0.919711,23.912499,1.839423,4680.411755,28.511056,0.0,0.0,0.459856,1.379567,3.678846,0.459856,0.459856,0.459856,36341.479678,0.0,0.0,255.219938,30.350479,19.773797,2.299279,34.029325,1655.02082,3291.64741,85.533168,0.919711,5.518269,19.313941,2208.687135
TCGA-D8-A3Z6,5.455591,528.982513,273.828711,16.156943,3683.783024,2.517965,86.030476,5.245761,189.686708,1912.184706,9.022708,421.968994,1736.136976,18.674908,5.245761,419.660859,405.18256,14.68813,0.419661,147.510792,14.68813,1.049152,468.341519,126.73758,1613.596005,1.888474,82.253528,10.701352,347.898853,10.071861,190.735861,1.468813,5.455591,0.20983,52.667438,7.973556,0.419661,49.519981,0.629491,2.517965,18.255247,0.0,7923.197027,3.986778,6746.258146,11.540674,26.018973,2447.462132,1350.678476,2.098304,1.468813,41.546425,7.553895,23.501008,125.688427,0.0,63.788451,0.0,22.032195,313.067001,4.196609,1.258983,0.0,19.3044,0.20983,2694.852209,28.327108,0.0,0.0,0.20983,1.678643,13.638978,0.839322,0.0,0.629491,34364.349139,0.0,0.20983,126.527749,5.03593,3.357287,0.419661,13.638978,4412.524107,2423.121803,32.733547,1.468813,1.468813,1.678643,591.511981
TCGA-E2-A109,16.636001,932.725121,1153.429401,43.253603,7178.988953,5.545334,444.735759,49.908003,240.667481,6555.69345,17.745068,696.493907,6199.683029,84.289072,6.6544,471.353361,515.71603,82.070938,3.3272,148.614942,45.471736,6.6544,761.928844,322.738419,1740.125702,5.545334,177.450677,41.035469,685.40324,14.417868,657.676572,1.109067,4.436267,0.0,53.235203,15.526934,0.0,94.270672,1.109067,2.218133,141.960542,1.109067,13553.904525,6.6544,11207.119321,34.381069,26.617602,3215.184454,729.765909,2.218133,1.109067,45.471736,5.545334,69.871204,364.882955,0.0,98.706939,0.0,44.362669,485.771228,18.854134,1.109067,0.0,60.99867,0.0,2001.86545,45.471736,0.0,2.218133,0.0,5.545334,7.763467,3.3272,0.0,1.109067,63260.057294,0.0,0.0,242.885614,35.490135,14.417868,0.0,67.653071,2595.216152,3221.838855,54.34427,3.3272,0.0,1.109067,3551.231674
TCGA-E2-A14N,109.884231,1654.025179,1233.419622,176.555562,5519.727718,12.758094,325.537177,76.137014,721.8612,6075.322142,91.775968,1014.062712,5664.182268,197.956236,18.108263,2345.843125,2269.29456,190.959861,4.527066,534.605302,80.252528,15.227403,855.203862,707.045349,1339.188338,7.407926,766.720306,27.985497,1153.990197,214.006741,965.911195,52.267031,84.368042,2.88086,144.042999,16.873608,2.88086,111.118885,3.292411,11.52344,609.507661,0.411551,14267.253265,14.815851,16271.508706,72.844602,1.234654,4259.145702,3317.51604,3.703963,6.584823,605.803698,21.400674,75.725462,1654.848282,0.823103,97.949239,0.0,68.729088,530.078236,13.169646,4.115514,1.234654,60.49806,0.411551,6671.660157,486.865336,0.0,0.411551,5.76172,2.057757,57.205648,0.823103,2.057757,1.234654,102880.036875,0.0,0.0,751.904454,25.516188,30.866357,0.823103,42.389797,5515.612203,3478.021096,317.7177,1.234654,44.036003,5.350169,4644.769387
TCGA-E2-A14P,40.237287,1012.847954,940.54658,147.431934,8281.650948,8.487553,354.276736,62.870761,287.948084,5229.904226,76.387974,523.399083,4847.650001,119.768799,10.688029,652.912849,611.103794,109.395124,2.829184,519.312483,122.597983,4.086599,894.965278,371.251842,1457.029878,9.11626,66.328653,33.635857,646.625773,581.240182,1379.070135,4.400953,315.611219,0.0,109.08077,13.20286,3.143538,72.930082,4.715307,7.858845,237.022768,2.200477,13462.515981,16.975105,11564.133363,45.266948,1.257415,2061.532242,772.996002,16.032044,4.715307,214.389294,13.831567,39.608579,819.834719,0.0,86.132942,0.0,28.92055,797.201245,98.078387,1.257415,0.628708,160.006086,0.943061,4507.204832,158.748671,0.0,6.915784,0.314354,2.200477,11.002383,5.658368,0.314354,1.257415,59496.801293,0.314354,0.0,148.374995,145.860165,18.232521,2.200477,8.487553,2379.972645,1562.338402,43.066471,2.829184,14.774629,6.287076,6652.66954
TCGA-E2-A15A,13.212483,731.971567,965.392102,37.875785,8285.10777,14.974148,238.705529,53.730765,510.882682,4686.908191,30.829127,582.230091,4442.917669,72.228241,9.689154,469.483568,469.483568,85.440724,2.642497,134.767328,66.062416,4.404161,1101.921095,422.799461,3989.28908,2.642497,148.860644,36.994953,670.313312,12.331651,708.189097,10.569987,11.450819,0.0,76.632402,13.212483,4.404161,109.223194,0.880832,7.046658,166.477288,1.761664,9844.180782,14.974148,14095.077029,51.088268,29.067463,2701.512389,635.080024,3.523329,2.642497,51.088268,5.284993,24.663302,457.151917,0.880832,81.917396,0.0,44.922443,1860.317628,19.378309,2.642497,0.0,73.989906,1.761664,4670.172379,96.891543,0.880832,2.642497,0.0,5.284993,44.041611,4.404161,0.0,2.642497,52952.989985,0.0,0.0,125.078174,24.663302,17.616644,0.0,9.689154,2590.52753,3264.364171,22.020805,2.642497,2.642497,12.331651,7528.472901
TCGA-E2-A1B0,12.764767,698.99863,709.721034,46.463751,6977.73212,6.127088,252.231792,36.251938,321.672123,4213.904814,23.487171,374.773553,4002.520276,95.480456,15.828311,997.183582,939.997427,81.183917,0.510591,489.145864,122.541761,3.574135,1165.167913,350.775791,1187.633902,9.190632,393.154817,12.764767,630.57948,146.539523,1056.92269,5.616497,95.991046,3.063544,46.463751,12.764767,0.510591,73.014466,2.552953,3.574135,147.560704,0.0,11750.223128,17.360083,11306.519834,58.717927,1.021181,3118.177232,1172.316182,5.105907,4.595316,78.120373,11.743585,24.508352,653.045469,0.0,84.758052,0.510591,41.357844,1842.721734,20.934218,1.021181,0.0,78.630963,0.510591,4111.276089,88.332186,0.0,0.0,1.021181,1.021181,32.167212,0.0,1.021181,2.042363,55842.791175,0.0,0.0,194.535046,18.381264,20.934218,1.021181,13.785948,2753.615493,1691.076305,16.338901,1.021181,7.65886,3.063544,5459.235462
